https,urlLength,hostLength,pathLength,subdomains,usesIPAddress,digitCount,hyphenCount,underscoreCount,dotCount,keywordMatches,suspiciousTLD,label
1,20,10,1,0,0,0,0,0,1,0,0,0
1,40,31,1,1,0,0,0,0,2,0,0,1
1,29,20,1,1,0,0,1,0,2,0,0,1
1,22,12,1,0,0,0,0,0,1,0,0,0
1,23,8,7,1,0,2,0,0,2,0,0,1
1,49,13,28,0,0,0,2,0,1,0,0,1
1,37,27,1,0,0,0,0,0,1,0,0,0
1,32,23,1,1,0,0,0,0,2,0,0,1
1,22,7,7,0,0,0,0,0,1,0,0,1
1,76,25,1,1,0,26,1,0,2,0,0,1
1,175,15,108,1,0,21,2,0,2,0,0,1
1,131,15,108,1,0,15,1,0,2,0,0,1
1,22,7,7,0,0,1,0,0,1,0,0,1
1,21,11,1,0,0,0,0,0,1,0,0,0
1,23,8,7,1,0,1,0,0,2,0,0,1
1,22,12,1,0,0,0,0,0,1,0,0,0
1,21,6,7,0,0,1,1,0,1,0,0,1
1,21,6,7,0,0,0,1,0,1,0,0,1
1,24,14,1,0,0,0,0,0,1,0,0,0
0,28,21,0,0,0,2,0,0,1,0,0,1
1,29,20,1,0,0,0,1,0,1,1,0,1
1,23,13,1,0,0,0,0,0,1,0,0,0
1,17,7,1,0,0,1,0,0,1,0,0,0
1,22,7,7,0,0,0,0,0,1,0,0,1
1,62,43,11,1,0,20,1,0,2,0,0,1
1,25,15,1,0,0,0,0,0,1,0,0,0
0,43,35,1,1,0,5,4,0,2,0,0,1
1,20,10,1,0,0,0,0,0,1,0,0,0
1,80,7,65,0,0,11,0,0,1,0,0,1
1,38,30,0,1,0,0,2,0,2,0,0,1
1,19,9,1,0,0,0,0,0,1,0,0,0
1,22,7,7,0,0,0,0,0,1,0,0,1
1,27,17,1,0,0,0,0,0,1,0,0,0
1,143,26,87,1,0,18,2,3,2,0,0,1
1,23,13,1,0,0,0,0,0,1,0,0,0
1,21,11,1,0,0,0,0,0,1,0,0,0
1,37,28,1,1,0,0,0,0,2,0,0,1
1,102,34,20,1,0,38,6,0,2,0,1,1
1,34,25,1,1,0,0,1,0,2,1,0,1
